Remove Stop Words,Stemming,Weighting Scheme,Precision,Recall,F-Measure,MAP,DCG
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.005555555555555555,0.3010299956639812
True,True,lnc-itc,0.15,0.06818181818181818,0.09374999999999999,0.036601307189542485,1.0408424622321126
True,True,lnc-itc,0.05,0.125,0.07142857142857144,0.013888888888888888,0.3010299956639812
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.05,1.0,0.09523809523809523,0.14285714285714285,0.3333333333333333
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.005555555555555555,0.3010299956639812
True,True,lnc-itc,0.35,0.05511811023622047,0.09523809523809523,0.18646379764026824,2.8969751576302567
True,True,lnc-itc,0.05,0.07692307692307693,0.060606060606060615,0.008547008547008546,0.3010299956639812
True,True,lnc-itc,0.15,0.03296703296703297,0.05405405405405406,0.030965909090909093,0.954270045842749
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.1,0.024390243902439025,0.03921568627450981,0.008496732026143792,0.4752213799347697
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.00625,0.31546487678572877
True,True,lnc-itc,0.05,0.09090909090909091,0.06451612903225806,0.008264462809917356,0.27894294565112987
True,True,lnc-itc,0.1,0.024691358024691357,0.039603960396039604,0.012142857142857143,0.5610035820302863
True,True,lnc-itc,0.1,0.013888888888888888,0.024390243902439022,0.009821428571428571,0.5006085669280416
True,True,lnc-itc,0.0,0.0,0,0,0
True,True,lnc-itc,0.05,0.018867924528301886,0.027397260273972605,0.0125,0.43067655807339306
True,True,lnc-itc,0.1,0.041666666666666664,0.058823529411764705,0.034999999999999996,0.9199945798893454
True,True,lnc-itc,0.25,0.09615384615384616,0.1388888888888889,0.13288770053475935,2.3197854078832423
True,True,lnc-itc,0.05,0.030303030303030304,0.03773584905660378,0.0029411764705882353,0.23981246656813146
True,True,lnc-itc,0.5,0.17857142857142858,0.2631578947368421,0.3229983660130719,3.5994783520090796
True,True,lnc-itc,0.15,0.02608695652173913,0.04444444444444444,0.09487179487179487,1.7626495350371936
True,True,lnc-itc,0.2,0.06666666666666667,0.1,0.043145363408521306,1.1869732670942723
